ra,dec,hst-f814w,uvista-y,uvista-j,uvista-h,uvista-ks,irac-ch1,irac-ch2,nircam_f115w,nircam_f150w,nircam_f277w,nircam_f444w,zpdf_med,mass_med,ssfr_med,ML-class,SED-class,ML-class_prob
150.0541803,2.111345404,25.26712653,23.74128738,23.32654101,22.94658493,22.44092596,22.08128571,21.96405009,24.47054301,23.71300165,22.46248027,21.88408529,2.5017,10.60047,-9.59981,FALSE,FALSE,0.311539033
150.0448428,2.144897483,26.74586416,23.53478179,23.04896344,22.69946891,22.34239739,21.86650749,21.85350762,24.86927491,23.54613865,21.99978589,21.47343442,2.5146,10.31537,-8.10251,TRUE,FALSE,0.006243245
150.0333711,2.151545181,27.11942585,23.86032707,23.98202961,23.8188169,23.72292705,23.02309889,23.02144232,25.80587263,24.74439945,23.66769823,23.16384035,2.5169,9.62895,-7.85802,FALSE,FALSE,0.000428419
150.06147,2.157795446,27.60971989,23.26985933,23.42074543,23.22065016,22.82048331,22.47439417,22.27246618,26.06455778,24.57428939,22.8186679,22.03796134,2.5102,9.90369,-7.30738,FALSE,FALSE,0.000435818
150.0543074,2.16400815,24.22644676,20.41980306,20.70885508,21.07843003,21.31260136,20.99831148,20.90338971,23.53837369,22.93130901,21.5131068,20.95614699,2.5169,10.23842,-7.62352,FALSE,FALSE,0.05370989
150.0952515,2.195553025,24.98759102,24.21754748,23.95969863,23.21711346,23.0679831,23.07680926,22.86713087,24.53992155,23.62312565,22.88426816,22.52494206,2.5229,10.25146,-9.00532,FALSE,FALSE,0.000729788
150.1816389,2.174985208,24.63472142,24.46364476,24.16647187,23.62172092,23.65237754,23.71876881,23.3158755,24.71324403,24.0671467,23.78724846,23.60653565,2.5003,9.50668,-8.55903,FALSE,FALSE,0.009846434
150.1803046,1.987372565,27.25546014,23.65282891,23.50599022,23.28269816,23.10375089,22.67280424,22.67936252,25.94646743,24.48890123,23.10030608,22.65613082,2.5113,9.92175,-7.7467,TRUE,FALSE,4.26E-06
150.1699626,1.992678687,25.58008199,21.13223019,20.71602896,20.6405014,20.57575384,20.03328328,20.12185458,22.84785551,21.77787211,20.5665779,20.2723622,2.5148,10.40523,-7.31045,TRUE,FALSE,0.002872934
150.2661809,1.960532785,25.68271083,24.20705835,23.89890903,23.06054338,22.86927044,22.42215334,22.22949953,24.88184832,23.94237814,22.68230941,21.99290122,2.5089,9.84035,-7.3807,FALSE,FALSE,0.000921454
150.2104157,1.992591287,25.40601948,24.88827519,24.66945919,24.02350314,23.96134933,23.76525628,23.72654074,25.40913441,24.30758042,23.84631614,23.73666815,2.5048,9.70652,-8.94432,FALSE,FALSE,2.82E-05
150.1929833,2.019265699,27.25151982,24.85389462,23.57059608,22.46510892,21.82625325,21.2340136,21.0821921,24.85509224,23.04595414,21.44229185,20.90813207,2.502,11.05376,-9.20982,TRUE,FALSE,0.00013507
150.2244686,2.017520605,26.29020257,25.64948091,25.11616548,24.24493505,24.04020393,23.66688828,23.56592147,25.52716726,24.75845662,23.78276316,23.36728015,2.518,9.90297,-8.72988,FALSE,FALSE,0.0001688
150.2103457,2.045320891,24.2127447,23.61878105,23.39179545,22.90906009,23.0372976,22.63083799,22.73476315,23.87151921,23.50127658,23.14916794,22.91552304,2.525,9.60985,-8.02261,FALSE,FALSE,0.007478549
150.2570749,2.03129298,26.67282929,26.29521464,24.95653183,23.85150883,23.57029054,23.44441003,23.28089924,26.04538004,24.42229909,23.40771472,22.97752292,2.5057,10.18927,-9.117,TRUE,FALSE,0.000243614
150.1799098,2.088625296,28.18995681,25.52552228,24.11136006,23.04198451,22.11207034,20.98096264,20.58494975,25.70914852,23.8912555,21.49848997,20.44868581,2.5031,11.01001,-8.24937,FALSE,FALSE,0.000555456
150.181234,2.102959431,26.49012658,25.36724279,24.32080562,22.85280709,22.40188483,22.12795502,21.94215546,24.6834113,23.16019053,22.02839398,21.69130615,2.5158,10.74999,-11.7,TRUE,TRUE,0.931909231
